song,genre,kind,level,bpm,audio_dur,n_vocal_onsets,vad_active,lrc_source,lrc_match_score,lrc_n_lines,lrc_n_candidates,lrc_span_sec,lrc_tail_over_clip_sec,tempo_nR2,tempo_nR2_foreign,align_ok,align_z,align_hit_rate,align_null_rate,align_delta,align_n_lines_in,align_spliced,foreign_z,foreign_hit_rate,n_phrases,T1_head_lift,T1_head_p,T1_head_lift_foreign,T1_slide_lift,T1_break_lift,T2_pre_lift,T2_gap_lift,T2_gap_over_inside,T3_rho_syllable,T3_rho_phrase_starts,T3_rho_intensity,T3_r2_gain_syllable,T4_rho_dur_notes,T4_rho_syl_notes,C_n_detected,C_head_lift,C_head_p,C_head_slide_lift,C_head_break_lift,C_gap_lift,C_rho_phrase_start,C_rho_in_gap,C_rho_intensity,C_r2_gain
どういうことなの！？,niconico＆ボーカロイド,vocal,13.4,175.0,119.7,126,0.583,lrclib,1.23,39,6,195.6,99.0,14.01,0.29,False,4.9,0.733,0.214,152.11,15,False,4.21,0.515,15,1.0472,0.415,0.974,0.6935,0.0,0.7653,,,-0.202,0.1124,0.0858,0.0355,0.6338,0.3289,32,1.022,0.43,1.0619,0.0,1.0376,0.0798,0.1795,0.0858,0.0937
どうしてこうなった,niconico＆ボーカロイド,vocal,13.7,180.0,137.8,191,0.786,netease,0.836,55,1,151.1,30.3,43.98,18.09,True,7.8,0.814,0.28,31.46,43,True,5.55,1.0,43,1.0463,0.36,1.0258,1.3687,0.0,1.0838,,,-0.1294,0.032,0.1263,0.0095,0.7375,-0.0853,82,0.9741,0.685,0.9367,1.2021,0.6646,-0.2386,-0.4585,0.1263,0.2009
にじよめちゃん体操第一億,POPS＆アニメ,vocal,13.8,120.0,96.2,176,0.837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,1.0874,0.255,1.489,1.1026,0.6167,0.0515,-0.4405,-0.1405,0.1612
ぽっぴっぽー,niconico＆ボーカロイド,vocal,13.3,150.0,100.5,229,0.782,lrclib,0.812,64,6,175.3,75.2,30.21,0.68,False,4.88,0.846,0.457,-1.08,39,False,3.53,0.85,39,0.8458,0.94,1.1604,1.2292,0.0,0.999,0.5478,0.5451,0.0624,0.1446,-0.0039,0.0,0.7753,-0.0874,21,0.9873,0.56,2.2548,8.9386,0.905,-0.0874,0.0572,-0.0039,0.0176
アンハッピーリフレイン,niconico＆ボーカロイド,vocal,13.4,205.0,119.4,149,0.66,lrclib,1.246,50,6,184.7,103.0,28.85,0.11,True,5.38,0.789,0.253,-5.03,19,False,8.74,0.796,19,0.9188,0.73,1.0694,1.1525,0.0,1.0623,,,0.0912,0.1379,0.4067,0.0152,0.7956,0.6894,49,0.9559,0.78,1.1565,1.7083,1.006,-0.1098,-0.0209,0.4067,0.0249
アージェントシンメトリー,maimai,instrumental,13.5,172.0,132.7,186,0.646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,1.0427,0.36,0.8643,10.3715,1.124,0.1269,0.2257,0.1873,0.0537
ウサテイ,東方Project,vocal,14.0,190.0,108.6,262,0.906,netease,0.783,85,1,233.2,124.6,9.85,0.38,True,6.04,0.818,0.474,-15.38,77,True,5.07,0.875,77,1.0393,0.25,0.9034,0.7027,1.4273,1.004,1.0907,1.0479,0.1132,0.1111,0.3268,0.0322,0.9257,0.0247,33,1.0658,0.195,1.641,0.6061,1.1665,0.154,0.0737,0.3268,0.0719
ウッーウッーウマウマ(ﾟ∀ﾟ),POPS＆アニメ,vocal,13.4,164.73,101.6,203,0.774,netease,0.566,59,5,145.1,71.5,8.71,2.88,True,6.17,0.833,0.398,-14.79,48,True,4.63,0.87,48,0.99,0.58,1.076,0.5135,2.118,0.9379,,,0.1318,0.0723,0.1602,0.0018,0.8523,0.4127,26,0.9511,0.69,2.8691,1.315,1.0733,-0.289,0.1382,0.1602,0.1963
オモイヨシノ,ゲーム＆バラエティ,vocal,13.3,168.0,137.6,149,0.747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,1.1447,0.07,1.8575,0.0,0.9907,0.0628,-0.0564,0.1899,0.0029
ガチャガチャきゅ～と・ふぃぎゅ@メイト,POPS＆アニメ,vocal,13.2,178.0,128.2,260,0.873,lrclib,1.261,81,6,220.3,97.6,10.04,0.31,True,5.5,0.754,0.408,52.3,61,True,5.53,0.778,62,1.3057,0.005,0.9231,1.5061,1.1944,0.9974,,,0.0175,0.1494,0.2932,0.0,0.7468,0.4882,46,0.9597,0.675,1.0342,1.233,0.8023,-0.0614,-0.2544,0.2932,0.0057
キミノヨゾラ哨戒班,niconico＆ボーカロイド,vocal,13.0,185.0,123.2,138,0.837,lrclib,1.236,27,6,156.4,33.6,4.3,0.29,True,7.69,0.95,0.228,18.33,20,True,5.81,1.0,21,0.9993,0.575,1.0578,1.1991,0.0,0.8472,,,-0.2182,-0.0977,0.4378,0.0122,0.9415,0.352,39,0.9448,0.79,1.195,3.7842,0.8562,-0.2101,-0.3103,0.4378,0.0569
キレキャリオン,niconico＆ボーカロイド,vocal,13.1,170.0,128.5,180,0.631,lrclib,1.222,38,6,147.6,36.3,12.93,0.32,True,7.98,0.868,0.284,-1.35,38,True,5.96,0.833,38,0.9637,0.595,1.181,0.405,2.0965,0.7311,,,-0.0084,0.0263,0.3262,0.0112,0.6499,0.4718,34,0.9467,0.72,0.9185,1.1886,1.0719,0.0629,0.1402,0.3262,0.1221
ギリギリ最強あいまいみー！,POPS＆アニメ,vocal,13.7,185.0,106.4,217,0.767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,1.0939,0.165,1.9821,1.7206,1.0459,-0.1377,-0.1409,0.1493,0.0316
クノイチでも恋がしたい,niconico＆ボーカロイド,vocal,13.4,185.0,135.2,164,0.748,lrclib,1.246,64,6,234.7,105.9,3.08,0.29,True,6.1,0.667,0.246,66.03,39,True,5.98,0.783,40,1.0656,0.34,1.2815,1.009,0.0,0.8178,1.071,1.1553,-0.2715,-0.1595,0.4395,0.0386,0.7984,0.165,60,1.0943,0.09,1.0608,0.678,0.9099,0.0145,-0.1977,0.4395,0.0149
コトバ・カラフル,ゲーム＆バラエティ,vocal,13.7,169.0,91.5,130,0.636,netease,0.822,39,3,190.8,112.1,0.04,0.08,True,6.31,0.846,0.287,67.47,26,True,6.44,0.828,26,1.0663,0.245,1.1292,1.6793,0.6593,0.8348,1.1448,1.1252,-0.2241,-0.1647,-0.1311,0.1571,0.9532,0.138,29,0.9986,0.49,0.9286,0.5468,1.0304,0.1771,0.262,-0.1311,0.2392
ジンギスカン,POPS＆アニメ,vocal,13.3,150.0,135.6,409,0.944,lrclib,0.812,43,4,180.4,46.3,0.65,0.57,False,3.79,0.909,0.584,29.34,33,False,4.97,0.867,33,1.1326,0.035,0.9608,1.1444,1.8886,1.0498,,,0.0291,0.0324,-0.223,0.0,0.6851,0.1694,12,0.8687,0.72,0.9628,0.8607,0.8382,-0.2634,0.0022,-0.223,0.0953
ジングルベル,maimai,vocal,14.4,100.0,97.5,48,0.718,netease,0.812,29,2,126.8,29.3,6.32,1.01,False,5.31,0.714,0.103,34.23,7,False,3.36,0.444,7,1.0367,0.47,1.1864,0.0,0.0,1.0701,,,0.2002,0.2591,0.0214,0.0352,0.9286,0.2753,20,1.0263,0.375,1.4978,2.3751,0.997,-0.2449,0.1229,0.0214,0.0433
ストリーミングハート,niconico＆ボーカロイド,vocal,13.3,210.0,136.1,223,0.851,lrclib,1.242,42,6,176.6,40.8,11.84,0.84,True,7.09,0.912,0.337,1.32,34,True,4.89,0.8,34,1.1693,0.19,1.1189,1.4082,0.0,1.1472,,,0.1751,0.2656,0.4891,0.0106,0.7631,-0.1049,76,1.0662,0.19,1.0956,0.0,0.6312,-0.1874,-0.2278,0.4891,0.0686
セガサターン起動音[H.][Remix],ゲーム＆バラエティ,instrumental,13.0,148.0,82.7,175,0.277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,0.8852,0.835,1.0892,0.5745,1.0481,0.043,0.1246,0.2359,0.0092
ソーラン☆節,maimai,vocal,13.4,145.0,96.0,148,0.808,netease,1.2,19,5,89.2,-4.1,5.73,3.0,False,4.46,0.789,0.315,-1.36,19,False,5.04,0.882,19,1.0019,0.515,1.3184,1.706,4.4843,0.6228,,,-0.0369,-0.2368,0.4022,0.0408,0.7926,0.5289,28,1.0106,0.455,1.1576,0.7607,0.7104,-0.2023,-0.3101,0.4022,0.0063
ダンスロボットダンス,niconico＆ボーカロイド,vocal,13.3,190.0,147.8,200,0.657,lrclib,1.242,72,6,156.5,29.1,14.21,6.38,True,5.65,0.614,0.279,-1.61,57,False,5.68,0.61,57,1.347,0.0,1.0442,1.3318,2.3036,0.9663,0.9148,0.8716,0.266,0.3562,0.3464,0.0168,0.7181,0.6411,60,1.0112,0.385,0.8398,2.4572,0.8679,-0.0449,-0.2643,0.3464,0.084
デッドレッドガールズ,niconico＆ボーカロイド,vocal,13.8,230.0,140.0,194,0.457,netease,1.242,50,1,171.3,31.3,8.77,0.51,True,6.39,0.681,0.268,-3.4,47,True,4.49,0.568,47,0.9911,0.57,1.0436,0.9779,2.9554,0.9185,1.4452,1.4794,-0.1097,-0.1654,0.2674,0.0353,0.5368,0.0718,26,1.2571,0.02,1.293,2.6051,0.9934,0.0044,0.0557,0.2674,0.0177
ドーナツホール,niconico＆ボーカロイド,vocal,13.6,252.0,140.1,141,0.868,lrclib,0.822,41,6,186.4,62.2,2.5,2.82,True,8.17,0.732,0.211,6.56,41,True,4.47,0.583,41,0.8414,0.905,1.0321,0.3855,0.0,0.7649,,,0.0573,-0.127,0.1892,0.0076,0.6514,0.4282,105,1.0146,0.41,0.8571,0.0,0.8824,-0.0853,-0.0849,0.1892,0.017
ナイト・オブ・ナイツ,東方Project,instrumental,13.3,180.0,112.4,256,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,1.1356,0.04,1.8471,0.8246,0.9993,0.241,-0.1156,0.4314,0.0186
ネクロファンタジア～Arr.Demetori,東方Project,instrumental,13.8,180.0,148.5,474,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.9496,0.585,0.2401,0.0,,-0.155,,0.2417,0.003
ハート・ビート,オンゲキ＆CHUNITHM,vocal,13.4,212.0,146.7,238,0.895,netease,0.812,53,1,150.8,4.1,7.17,0.51,False,4.14,0.649,0.329,46.15,37,False,5.34,1.0,37,0.9863,0.515,1.1295,0.9744,0.0,0.8712,,,-0.1828,-0.1172,0.2916,0.0182,0.8666,0.47,82,1.0829,0.16,0.8793,1.7335,1.0577,0.1326,-0.0516,0.2916,0.0206
ピーマンたべたら,maimai,vocal,13.7,178.0,105.1,144,0.757,netease,0.83,24,2,92.0,-1.8,10.84,0.94,True,7.13,0.917,0.27,-2.16,24,False,4.48,0.9,24,0.9738,0.63,0.8874,1.2984,1.319,0.9149,0.6584,0.6674,-0.1596,-0.097,0.0274,0.0272,0.8799,0.1349,31,0.9438,0.7,1.1061,1.2641,0.8488,-0.1643,-0.1353,0.0274,0.0759
フキゲンワルツ,niconico＆ボーカロイド,vocal,13.2,210.0,141.9,186,0.67,lrclib,1.222,24,6,208.9,85.8,2.92,2.71,False,4.3,0.786,0.274,106.36,14,False,5.25,0.773,14,0.9285,0.665,1.0692,1.5249,0.0,0.7074,0.6632,0.6909,-0.088,0.0269,-0.083,0.0028,0.4604,-0.1334,71,1.1334,0.045,1.3531,1.7649,1.0573,-0.2564,0.0524,-0.083,0.0527
ユビキリ,maimai,vocal,13.3,174.0,125.5,214,0.627,lrclib,0.783,29,4,252.2,151.1,1.03,0.09,True,5.23,0.9,0.344,-3.02,20,True,6.61,0.818,20,1.1353,0.245,0.9681,1.1569,0.9134,1.1893,,,0.5379,0.0844,0.4888,0.0711,0.6297,0.1545,31,0.8881,0.75,0.6069,1.4155,0.789,0.1537,-0.4064,0.4888,0.0673
リンカーネイション,niconico＆ボーカロイド,vocal,13.8,185.0,130.9,167,0.748,netease,1.236,51,3,197.7,66.9,2.02,0.47,True,5.09,0.587,0.258,24.77,46,True,4.5,0.722,46,1.1231,0.08,1.0644,1.3475,0.959,0.917,0.9712,0.9742,-0.0259,0.0222,0.2635,0.0007,0.4933,0.1105,66,1.1266,0.03,0.9039,0.965,1.0016,0.1418,0.0325,0.2635,0.0131
ロストワンの号哭,niconico＆ボーカロイド,vocal,13.6,162.0,132.5,224,0.687,lrclib,1.23,27,6,155.4,51.0,19.56,0.52,True,6.13,0.889,0.333,11.82,27,True,7.36,0.967,27,0.843,0.885,0.9014,0.4265,1.8124,0.8737,,,-0.472,-0.1045,-0.0025,0.2578,0.8021,0.5801,28,0.9928,0.575,1.4538,0.0,1.2223,-0.0716,0.5861,-0.0025,0.4336
ローリンガール,niconico＆ボーカロイド,vocal,13.2,195.0,122.1,126,0.648,lrclib,1.222,28,6,157.3,64.9,13.54,0.43,False,4.96,0.889,0.213,10.45,9,False,7.64,0.674,9,1.2523,0.23,1.1318,0.538,0.0,0.9392,,,0.0227,0.0085,0.0593,0.0,0.4874,0.616,51,1.1602,0.06,1.7089,0.0,1.0756,-0.2541,0.1813,0.0593,0.1936
ワールズエンド・ダンスホール,niconico＆ボーカロイド,vocal,13.0,171.0,102.5,197,0.656,lrclib,1.253,37,6,169.4,95.1,13.62,0.15,False,3.77,0.867,0.391,7.61,15,False,7.11,0.789,15,1.3628,0.03,1.1426,0.0,3.8715,1.2849,1.1124,1.0509,0.5767,0.4528,0.2039,0.3679,0.852,0.4431,11,1.0619,0.355,0.0,0.0,0.6657,-0.0421,-0.7612,0.2039,0.611
僕は空気が嫁ない,niconico＆ボーカロイド,instrumental,13.5,192.0,115.0,127,0.554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,1.0227,0.375,0.7718,0.5172,0.8971,0.0127,-0.3118,0.4404,0.0504
光線チューニング,オンゲキ＆CHUNITHM,vocal,13.7,190.0,146.5,288,0.73,lrclib,1.23,40,6,117.5,-14.7,13.91,0.14,True,5.23,0.8,0.396,-1.01,40,False,5.66,1.0,40,1.1164,0.14,1.0407,1.2948,0.7,0.6122,,,-0.0535,-0.0973,0.09,0.0876,0.5692,0.4685,37,0.8003,0.93,1.0071,1.037,1.1092,-0.1791,0.2259,0.09,0.2122
円舞曲、君に,ゲーム＆バラエティ,vocal,13.3,128.0,115.4,149,0.596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,0.9642,0.59,1.5829,0.0,0.8591,-0.1182,-0.3151,0.3984,0.02
初音ミクの消失,niconico＆ボーカロイド,vocal,13.9,240.0,138.4,261,0.744,lrclib,1.222,95,6,259.0,143.6,11.57,0.8,True,6.46,0.767,0.365,27.52,60,True,3.87,0.731,61,0.9859,0.61,1.148,0.5206,0.2314,1.0393,,,0.0539,0.1413,0.5469,0.0097,0.6752,0.3562,70,1.1301,0.07,1.6914,0.7844,0.9117,0.001,-0.1778,0.5469,0.0044
初音ミクの激唱,niconico＆ボーカロイド,vocal,14.5,200.0,147.0,198,0.869,lrclib,1.222,34,6,247.3,138.0,1.68,0.46,True,5.23,0.714,0.273,29.02,28,True,5.9,0.625,28,1.3799,0.01,1.1197,2.1461,1.3413,0.8572,,,0.2804,0.1234,0.6478,0.0523,0.5357,0.0743,79,1.2505,0.015,2.3838,0.764,0.5777,0.0578,-0.2136,0.6478,0.044
前前前世,POPS＆アニメ,vocal,13.0,190.0,117.5,125,0.553,lrclib,0.783,31,6,234.1,140.5,2.99,5.05,True,8.5,0.862,0.214,2.02,29,True,8.34,0.708,29,1.0156,0.385,0.9322,0.724,1.3331,0.809,,,0.0797,0.0763,0.1398,0.0,0.8126,0.1289,35,0.8527,0.93,0.4958,1.0651,1.0007,-0.1738,-0.0815,0.1398,0.0423
厨病激発ボーイ,niconico＆ボーカロイド,vocal,13.8,190.0,145.7,181,0.622,lrclib,1.222,49,6,187.1,56.8,5.05,0.43,True,8.82,0.796,0.25,-2.93,49,True,5.57,0.588,49,1.0674,0.36,1.1124,1.7868,1.3758,1.0674,0.2402,0.2493,-0.0645,-0.2123,0.2333,0.0447,0.6059,0.21,62,1.0946,0.165,1.2367,1.7634,1.0971,-0.0647,0.1639,0.2333,0.2158
右肩の蝶,niconico＆ボーカロイド,vocal,13.1,140.0,147.5,163,0.848,netease,1.183,30,6,261.9,114.4,4.18,0.15,False,5.56,1.0,0.225,-60.17,9,True,5.92,0.72,9,1.3163,0.135,1.11,2.4423,0.0,0.8227,0.6436,0.6029,0.0774,-0.0476,0.4224,0.0104,0.3,0.395,59,1.0053,0.475,0.5814,0.0,0.8261,0.0049,-0.2099,0.4224,0.0102
咲キ誇レ常世ノ華,maimai,vocal,13.5,170.0,142.0,182,0.694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,0.89,0.84,1.1063,1.1617,1.3343,-0.4066,0.4182,0.4127,0.152
四月の雨,maimai,instrumental,13.9,79.0,129.1,95,0.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,0.9053,0.875,0.8343,0.0,0.9782,-0.0212,-0.1289,0.3206,0.0166
回レ！雪月花,POPS＆アニメ,vocal,13.3,160.0,92.4,203,0.897,lrclib,1.2,60,6,230.5,138.6,7.51,0.24,True,5.03,0.829,0.439,-5.37,41,True,3.84,0.889,41,1.0214,0.365,0.9387,1.4532,0.9166,0.9318,,,0.1554,-0.0516,0.1612,0.0094,0.8415,0.3561,31,1.0552,0.275,0.7692,1.6172,1.0262,0.0374,0.0643,0.1612,0.0264
夜咄ディセイブ,niconico＆ボーカロイド,vocal,13.8,260.0,117.7,156,0.498,lrclib,1.222,58,4,153.4,58.1,0.59,0.7,True,7.41,0.811,0.27,-10.6,37,True,3.55,0.632,37,1.0625,0.335,1.4164,0.9728,0.0,1.0,,,0.2467,0.1142,0.2917,0.007,0.9117,0.6424,46,1.2035,0.05,1.4048,0.0,0.9958,0.0532,-0.1466,0.2917,0.0224
夜明けまであと３秒,ゲーム＆バラエティ,instrumental,14.0,177.0,134.2,57,0.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,0.8285,0.98,1.5222,1.8754,1.0683,-0.189,0.3841,-0.0067,0.1708
妖精村の月誕祭 ～Lunate Elf,東方Project,instrumental,13.3,132.0,106.3,65,0.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,1.0033,0.485,1.0857,0.95,1.0126,0.0793,0.1697,0.5329,0.002
幸せになれる隠しコマンドがあるらしい,niconico＆ボーカロイド,vocal,14.0,142.0,148.1,299,0.807,lrclib,1.265,129,6,215.8,74.1,15.73,2.09,True,6.38,0.771,0.398,152.5,70,False,3.3,0.846,71,0.8058,0.865,1.0154,0.9682,0.9226,0.7481,,,-0.3757,-0.3646,0.5472,0.0588,0.7825,-0.3606,76,0.8947,0.985,0.8009,1.579,1.0771,-0.0686,-0.0124,0.5472,0.0112
幻想のサテライト,東方Project,vocal,14.1,230.0,134.1,332,0.768,lrclib,1.23,33,6,171.2,77.8,15.98,0.62,True,5.11,0.909,0.465,39.23,33,True,3.39,1.0,33,1.1831,0.185,0.8735,1.6228,0.0,1.097,,,0.2766,0.1282,0.6637,0.0106,0.4826,0.1705,45,1.1474,0.1,1.1277,1.7701,0.8507,-0.0214,-0.1803,0.6637,0.1031
幾四音-Ixion-,オンゲキ＆CHUNITHM,vocal,13.3,210.0,146.3,139,0.625,netease,1.23,24,2,134.3,-12.0,4.06,1.43,True,5.74,0.682,0.196,-6.44,22,False,7.64,0.638,22,1.5476,0.0,1.0074,1.9713,2.272,0.7878,,,0.1545,0.0741,0.2052,0.002,0.2574,0.2594,63,1.2282,0.0,1.6636,2.9091,1.1032,-0.1213,0.1315,0.2052,0.0311
放課後ストライド,niconico＆ボーカロイド,vocal,13.3,225.0,138.7,198,0.758,lrclib,1.23,59,6,190.9,78.4,12.96,0.11,False,4.67,0.739,0.295,-41.47,23,False,4.74,0.641,23,1.1297,0.26,1.1092,1.1475,4.0911,0.8971,,,0.2131,-0.2198,0.3425,0.0024,0.8373,0.605,71,1.3005,0.0,1.4971,2.1229,0.7437,-0.0063,-0.367,0.3425,0.0637
敗北の少年,niconico＆ボーカロイド,vocal,13.4,185.0,146.6,128,0.652,lrclib,0.8,31,6,182.9,47.3,20.1,0.91,True,8.64,0.774,0.179,-2.01,31,True,8.13,0.895,31,0.766,0.985,0.9934,1.1028,2.4114,0.9902,1.2601,1.3237,-0.3266,-0.1823,-0.0831,0.0854,0.8082,0.4941,67,0.9055,0.975,0.8314,3.4627,1.0969,-0.0638,-0.0202,-0.0831,0.0148
日本の米は世界一,POPS＆アニメ,vocal,13.3,138.0,114.8,162,0.738,netease,1.23,32,1,192.0,77.5,1.65,0.21,True,5.37,0.733,0.289,-5.52,30,True,4.33,0.765,30,1.2123,0.035,1.4068,1.7811,0.6187,0.964,,,0.4248,0.1905,0.2625,0.0475,0.7836,0.2051,27,1.1257,0.075,0.9692,1.1631,0.8728,0.2792,-0.3329,0.2625,0.0641
最終鬼畜妹・一部声,東方Project,vocal,13.9,200.0,137.9,227,0.891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,1.2319,0.02,1.0696,1.4357,0.0684,0.2116,-0.4448,0.2398,0.0178
木彫り鯰と右肩ゾンビ,niconico＆ボーカロイド,vocal,13.6,150.0,151.7,319,0.938,netease,1.242,65,2,224.0,89.3,12.95,2.14,True,7.19,0.862,0.421,-34.84,65,True,4.06,1.0,65,1.2232,0.005,1.0926,1.9072,0.3962,1.1212,,,0.0528,0.1164,0.1997,0.0,0.555,0.0347,39,0.9489,0.76,0.0863,1.7211,0.9636,0.1345,-0.0444,0.1997,0.0053
東方スイーツ！～鬼畜姉妹と受難メイド～,東方Project,vocal,13.2,179.0,110.6,213,0.831,lrclib,1.261,62,1,287.8,196.4,8.45,0.21,False,3.85,0.783,0.391,135.69,23,False,4.67,0.9,23,1.2646,0.05,1.2371,1.0313,0.0,0.7698,,,-0.145,-0.1236,0.2813,0.0618,0.8605,0.2682,40,0.9984,0.47,1.4733,0.0,0.6186,-0.2673,-0.2488,0.2813,0.1669
東方妖々夢 ～the maximum moving about～,東方Project,vocal,13.3,196.975,145.8,176,0.553,lrclib,1.275,26,4,162.9,49.2,0.49,0.27,True,5.9,0.875,0.243,-69.14,16,True,4.16,0.525,16,0.9594,0.505,1.0776,1.734,0.0,0.5534,,,0.1237,0.1539,0.2804,0.0012,0.5905,0.0179,46,1.082,0.2,1.5349,0.0,0.9771,0.0628,0.0104,0.2804,0.0161
極圏,ゲーム＆バラエティ,instrumental,14.4,207.0,124.0,79,0.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,1.0028,0.47,0.8379,1.1481,1.0346,-0.0093,0.0874,0.4395,0.0188
火炎地獄,maimai,instrumental,14.1,216.0,111.7,288,0.297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,1.2164,0.055,0.7246,0.818,0.9445,0.1863,-0.2141,0.2455,0.0637
炉心融解,niconico＆ボーカロイド,vocal,13.2,165.0,99.8,99,0.588,lrclib,1.183,35,6,276.2,208.0,0.28,0.07,True,8.33,0.828,0.204,19.39,29,True,6.61,0.8,29,1.3137,0.06,1.0298,1.5395,0.6392,1.197,,,0.3477,0.0926,0.3671,0.012,0.943,0.6517,30,1.151,0.16,1.1831,0.8842,0.8138,0.0755,-0.3761,0.3671,0.0321
炭★坑★節,maimai,vocal,13.3,112.0,102.0,152,0.936,lrclib,0.76,24,3,145.6,56.9,0.39,0.53,True,5.74,0.833,0.298,-22.88,24,True,3.94,0.682,24,0.9595,0.57,0.9124,0.0,0.0,1.1993,,,0.2966,0.1579,-0.3051,0.144,0.5766,0.4536,20,1.1149,0.235,1.2301,0.0,1.3029,0.1985,0.0595,-0.3051,0.026
片想いサンバ,niconico＆ボーカロイド,vocal,13.2,150.0,134.3,351,0.687,netease,0.812,77,3,162.2,35.9,57.68,0.74,True,6.26,0.818,0.462,-1.55,77,True,4.32,0.885,77,1.0578,0.29,0.9546,1.8055,0.0909,0.9688,,,0.1604,0.2483,0.0794,0.0093,0.6479,0.3047,6,0.4632,0.99,0.7606,0.0,1.0052,0.0331,-0.2568,0.0794,0.0043
生きてるおばけは生きている,niconico＆ボーカロイド,vocal,13.3,140.0,130.7,132,0.884,lrclib,1.253,31,6,195.8,66.0,4.51,0.47,False,4.89,0.636,0.211,66.99,22,False,5.62,0.737,22,0.8939,0.89,0.9776,0.65,1.625,1.1761,1.0849,1.093,-0.0416,0.0574,0.2094,0.0002,0.7285,0.2868,56,1.0088,0.46,1.5487,1.2906,1.0471,0.0264,0.0658,0.2094,0.005
疾走あんさんぶる,東方Project,instrumental,13.7,195.0,135.4,561,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1.1137,0.435,1.6039,0.0,,0.0038,,0.5064,0.0004
真・ハンサム体操でズンドコホイ,POPS＆アニメ,vocal,13.4,140.0,113.1,183,0.867,netease,0.674,45,1,177.1,64.0,20.12,1.36,True,5.25,0.793,0.334,-30.3,29,True,4.82,0.818,29,0.7984,0.835,1.3476,0.6126,0.3773,0.8158,,,-0.3854,-0.1294,0.221,0.13,0.8641,0.1998,35,0.8542,0.875,0.5198,0.6403,0.3426,-0.2357,-0.2307,0.221,0.0814
空威張りビヘイビア,maimai,vocal,13.7,186.0,135.5,225,0.786,netease,1.236,53,1,156.3,36.2,5.19,1.03,False,3.89,0.656,0.332,63.77,32,False,5.69,0.947,32,0.8153,0.965,0.9877,1.122,0.0,0.8725,1.2304,1.3013,-0.4058,-0.266,0.4776,0.1168,0.6853,-0.0872,51,0.8975,0.835,0.9206,0.7961,1.0641,-0.0422,0.0804,0.4776,0.0613
終点,niconico＆ボーカロイド,vocal,13.7,222.0,119.3,159,0.639,lrclib,1.125,35,6,223.8,105.7,0.28,0.01,False,4.57,0.9,0.263,-4.47,10,False,9.75,0.729,10,1.6086,0.005,0.9696,2.7829,4.3385,0.7745,,,0.1664,0.042,0.3874,0.0011,0.7073,0.4268,59,1.2235,0.01,1.3447,1.4974,0.9346,0.1253,-0.1507,0.3874,0.0393
緋色のDance,東方Project,vocal,13.3,155.0,106.0,168,0.586,lrclib,0.83,22,5,153.8,72.5,15.75,2.54,True,7.04,1.0,0.307,-2.92,22,True,4.7,0.75,22,0.8441,0.875,0.7378,0.8096,2.9347,0.8441,,,-0.2236,-0.1216,-0.1422,0.0075,0.7581,0.4374,28,0.9408,0.655,0.318,2.3058,1.1686,-0.2386,0.3569,-0.1422,0.1536
脳漿炸裂ガール,niconico＆ボーカロイド,vocal,14.1,155.0,106.1,236,0.753,lrclib,1.222,77,6,184.8,79.0,15.06,0.39,False,4.22,0.744,0.411,86.53,39,False,5.7,0.886,39,1.0566,0.225,1.0149,1.0437,1.476,0.955,,,-0.0322,0.0933,-0.0247,0.0175,0.7789,0.2228,19,0.9144,0.815,1.2524,0.0,1.0121,-0.1086,-0.0143,-0.0247,0.0498
言ノ葉カルマ,maimai,vocal,13.4,150.0,144.6,266,0.753,netease,1.212,36,3,138.9,15.3,23.23,0.25,True,5.71,0.893,0.372,0.22,28,True,4.94,0.87,28,1.1642,0.14,1.1197,1.6079,4.5836,0.8294,0.8034,0.739,0.2862,-0.057,0.2222,0.0951,0.5727,0.2363,37,1.0324,0.38,1.1637,1.935,0.7255,-0.1379,-0.4302,0.2222,0.1658
記憶、記録,maimai,vocal,13.6,185.0,110.0,153,0.67,netease,1.2,24,3,87.3,-22.6,3.69,0.29,True,7.09,0.955,0.277,-0.26,22,True,5.1,1.0,22,1.0149,0.5,0.9427,1.3523,0.3375,1.0825,0.8369,0.8967,-0.3651,-0.0024,0.2373,0.0804,0.6349,0.3497,29,1.1121,0.095,1.9052,0.6401,1.1573,0.0247,0.435,0.2373,0.1057
