scope,song,level,bpm,kind,seg_index,start_bar,end_bar,function,label_ja,n_bars,notes_total,n_events,align_err_ms,phi_star_ms,offset_delta_ms,spearman_raw,spearman_smooth,spearman_weighted,pearson_smooth,peak_err_bars,boundary_hit_tol1,boundary_hit_tol2,d_bar_mean,I_mean,suggested_notes,floor_fit,mae_notes,bias_notes,plan_primary,plan_secondary,best_stem,best_recall,second_stem,second_recall,best_stem_lift,best_lift,plan_agree,plan_agree_top2,plan_agree_lift,recall_drums,recall_bass,recall_other,recall_vocals,prec_drums,prec_bass,prec_other,prec_vocals,lift_drums,lift_bass,lift_other,lift_vocals,none_share,pool_precision,ending_label,tail_ratio,section_spearman
segment,初音ミクの激唱,14.5,200.0,audio_segment,4,31,40,quiet_chorus,落ちサビ,10,,37,,,,,,,,,,,3.9,0.8124,,,,,drum,bass,other,0.5946,drums,0.5676,vocals,5.0698,False,True,False,0.5676,0.1892,0.5946,0.4595,0.3559,0.28,0.6471,0.8947,2.2217,1.6101,3.8033,5.0698,,,,,
segment,初音ミクの激唱,14.5,200.0,audio_segment,5,41,44,verse,Aメロ,4,,17,,,,,,,,,,,4.25,0.7251,,,,,bass,vocal,drums,0.5882,vocals,0.4118,other,4.765,False,False,False,0.5882,0.3529,0.1176,0.4118,0.5556,0.75,1.0,0.5833,2.9195,3.7088,4.765,2.9561,,,,,
segment,初音ミクの激唱,14.5,200.0,audio_segment,6,45,48,verse,Aメロ,4,,7,,,,,,,,,,,2.25,0.6788,,,,,drum,hook,drums,0.5714,vocals,0.5714,other,11.5001,True,True,False,0.5714,0.0,0.1429,0.5714,0.2222,0.0,1.0,0.8,2.8361,0.0,11.5001,9.4315,,,,,
segment,初音ミクの激唱,14.5,200.0,audio_segment,7,49,56,pre_chorus,Bメロ,8,,20,,,,,,,,,,,3.5,0.698,,,,,drum,bass,drums,0.7,vocals,0.4,vocals,6.6021,True,True,False,0.7,0.1,0.1,0.4,0.3111,0.6667,0.6667,0.8,2.8553,5.3835,5.3835,6.6021,,,,,
segment,初音ミクの激唱,14.5,200.0,audio_segment,8,57,74,chorus,サビ,18,,130,,,,,,,,,,,8.722,0.8428,,,,,drum,,drums,0.4615,vocals,0.1308,other,2.8079,True,True,False,0.4615,0.1231,0.0769,0.1308,0.6667,0.6154,1.0,0.6296,2.0865,1.7664,2.8079,1.8098,,,,,
segment,初音ミクの激唱,14.5,200.0,audio_segment,9,75,80,quiet_chorus,落ちサビ,6,,30,,,,,,,,,,,5.0,0.8103,,,,,drum,vocal,drums,0.3667,vocals,0.3333,other,4.0167,True,True,False,0.3667,0.0667,0.0333,0.3333,0.5789,0.3333,1.0,0.8333,2.504,1.3669,4.0167,3.5028,,,,,
segment,初音ミクの激唱,14.5,200.0,audio_segment,10,81,104,chorus,サビ,24,,269,,,,,,,,,,,11.917,0.9358,,,,,vocal,drum,drums,0.461,vocals,0.1561,drums,1.5609,False,True,False,0.461,0.119,0.0,0.1561,0.7381,0.7619,,0.8077,1.5609,1.4199,,1.5207,,,,,
segment,初音ミクの激唱,14.5,200.0,audio_segment,11,105,108,chorus,サビ,4,,34,,,,,,,,,,,10.0,0.9243,,,,,drum,,drums,0.3824,vocals,0.1471,vocals,1.3821,True,True,False,0.3824,0.0882,0.0,0.1471,0.5,0.3,,0.5556,1.378,0.7509,,1.3821,,,,,
segment,初音ミクの激唱,14.5,200.0,audio_segment,12,109,112,quiet_chorus,落ちサビ,4,,59,,,,,,,,,,,16.25,0.8302,,,,,drum,,drums,0.2542,vocals,0.1017,vocals,1.4074,True,True,False,0.2542,0.0847,0.0,0.1017,0.75,1.0,,1.0,1.1494,1.3987,,1.4074,,,,,
segment,初音ミクの激唱,14.5,200.0,audio_segment,13,113,120,verse,Aメロ,8,,36,,,,,,,,,,,5.75,0.4229,,,,,drum,hook,bass,0.1389,drums,0.1111,bass,4.5143,False,True,False,0.1111,0.1389,0.0556,0.0833,0.4286,0.8,0.4,0.2143,2.5956,4.5143,1.8057,0.9947,,,,,
segment,初音ミクの激唱,14.5,200.0,chart_changepoint,0,2,63,,,62,,187,,,,,,,,,,,3.919,0.6939,,,,,,,drums,0.5775,vocals,0.3262,other,4.9847,,,,0.5775,0.2299,0.2888,0.3262,0.3588,0.344,0.7297,0.7262,2.6797,2.398,4.9847,4.9803,,,,,
segment,初音ミクの激唱,14.5,200.0,chart_changepoint,1,64,79,,,16,,123,,,,,,,,,,,8.812,0.8524,,,,,,,drums,0.3984,vocals,0.1626,other,2.6425,,,,0.3984,0.1463,0.0813,0.1626,0.6622,0.5806,1.0,0.6897,1.9296,1.585,2.6425,1.8768,,,,,
segment,初音ミクの激唱,14.5,200.0,chart_changepoint,2,80,95,,,16,,252,,,,,,,,,,,15.812,0.9452,,,,,,,drums,0.4127,vocals,0.127,drums,1.4754,,,,0.4127,0.1151,0.004,0.127,0.9905,1.0,1.0,0.8205,1.4754,1.3282,1.2718,1.1067,,,,,
segment,初音ミクの激唱,14.5,200.0,chart_changepoint,3,96,107,,,12,,54,,,,,,,,,,,6.333,0.9067,,,,,,,drums,0.5741,vocals,0.3148,vocals,3.4449,,,,0.5741,0.0556,0.0,0.3148,0.3605,0.1667,,0.7391,1.9062,0.7689,,3.4449,,,,,
segment,初音ミクの激唱,14.5,200.0,chart_changepoint,4,108,120,,,13,,105,,,,,,,,,,,9.308,0.589,,,,,,,drums,0.2095,bass,0.1238,bass,2.2085,,,,0.2095,0.1238,0.019,0.0952,0.6562,0.8,0.4,0.4545,1.8093,2.2085,1.0,1.1738,,,,,
song,幻想のサテライト,14.1,230.0,,,,,,,124,850,541,0.0,7.5,7.19,0.4819,0.5365,0.5939,0.5532,78,0.75,1.0,6.855,,10.54,0.0942,2.334,1.635,,,,,,,,,,,,0.4991,0.0961,0.4067,0.3309,0.5637,0.7027,0.7458,0.5375,2.4876,2.8268,3.1568,2.2952,0.1811,0.5089,fade_out,0.62,0.6044
segment,幻想のサテライト,14.1,230.0,audio_segment,0,3,10,intro,イントロ,8,,11,,,,,,,,,,,3.0,0.6554,,,,,drum,vocal,drums,0.6364,bass,0.4545,bass,10.7691,True,True,False,0.6364,0.4545,0.3636,0.2727,0.7,0.8333,0.5,0.0811,9.1757,10.7691,6.5077,1.1679,,,,,
segment,幻想のサテライト,14.1,230.0,audio_segment,1,11,24,verse,Aメロ,14,,70,,,,,,,,,,,7.143,0.6868,,,,,drum,vocal,vocals,0.4,drums,0.3429,other,2.962,False,True,False,0.3429,0.0,0.3,0.4,0.5854,0.0,0.8077,0.7179,2.2123,0.0,2.962,2.7025,,,,,
segment,幻想のサテライト,14.1,230.0,audio_segment,2,25,40,verse,Aメロ,16,,75,,,,,,,,,,,7.688,0.8682,,,,,drum,vocal,drums,0.7733,other,0.3867,drums,3.095,True,True,True,0.7733,0.0667,0.3867,0.3467,0.725,0.4545,0.4915,0.6341,3.095,1.72,2.0238,2.5304,,,,,
segment,幻想のサテライト,14.1,230.0,audio_segment,3,41,48,verse,Aメロ,8,,29,,,,,,,,,,,6.625,0.8643,,,,,drum,,drums,0.7931,other,0.3793,bass,3.5138,True,True,False,0.7931,0.1724,0.3793,0.2069,0.5,0.7143,0.55,0.5,2.8172,3.5138,2.8329,2.5037,,,,,
segment,幻想のサテライト,14.1,230.0,audio_segment,4,49,62,chorus,サビ,14,,74,,,,,,,,,,,9.143,0.8845,,,,,vocal,drum,vocals,0.4595,drums,0.4054,other,2.9852,True,True,False,0.4054,0.0,0.3784,0.4595,0.4918,,0.8485,0.6415,1.8293,,2.9852,2.3488,,,,,
segment,幻想のサテライト,14.1,230.0,audio_segment,5,63,64,interlude,間奏,2,,5,,,,,,,,,,,6.0,0.8099,,,,,hook,,other,0.4,vocals,0.4,other,2.9874,True,True,True,0.2,0.0,0.4,0.4,0.1,,0.4,0.4,0.8004,,2.9874,2.9874,,,,,
segment,幻想のサテライト,14.1,230.0,audio_segment,6,65,72,pre_chorus,Bメロ,8,,56,,,,,,,,,,,8.625,0.6369,,,,,drum,,other,0.5,drums,0.3929,other,2.5778,False,True,False,0.3929,0.0,0.5,0.0536,0.6667,,0.9333,0.75,1.8605,,2.5778,1.8903,,,,,
segment,幻想のサテライト,14.1,230.0,audio_segment,7,73,76,quiet_chorus,落ちサビ,4,,9,,,,,,,,,,,7.0,0.8022,,,,,drum,vocal,drums,0.5556,vocals,0.5556,vocals,3.5064,True,True,False,0.5556,0.0,0.3333,0.5556,0.2632,,0.4286,0.4167,2.3245,,3.4821,3.5064,,,,,
segment,幻想のサテライト,14.1,230.0,audio_segment,8,77,80,quiet_chorus,落ちサビ,4,,10,,,,,,,,,,,3.25,0.7823,,,,,drum,bass,drums,0.9,vocals,0.7,vocals,7.3124,True,True,False,0.9,0.0,0.6,0.7,0.5,,0.75,1.0,3.9476,,5.5231,7.3124,,,,,
segment,幻想のサテライト,14.1,230.0,audio_segment,9,81,88,pre_chorus,Bメロ,8,,29,,,,,,,,,,,4.125,0.7233,,,,,drum,bass,drums,0.4138,bass,0.3448,bass,4.5361,True,True,False,0.4138,0.3448,0.3448,0.2759,0.5455,0.9091,0.9091,0.2286,2.8292,4.5361,4.5361,1.2403,,,,,
segment,幻想のサテライト,14.1,230.0,audio_segment,10,89,96,chorus,サビ,8,,44,,,,,,,,,,,7.875,0.9226,,,,,drum,,drums,0.7727,other,0.3409,drums,2.8501,True,True,True,0.7727,0.2273,0.3409,0.25,0.7727,0.5263,0.75,0.3667,2.8501,1.7805,2.5461,1.2889,,,,,
segment,幻想のサテライト,14.1,230.0,audio_segment,11,97,112,chorus,サビ,16,,79,,,,,,,,,,,9.125,0.8854,,,,,vocal,drum,vocals,0.5443,drums,0.3924,bass,3.1265,True,True,False,0.3924,0.0886,0.3544,0.5443,0.3924,0.875,0.8235,0.7544,1.5876,3.1265,3.0815,2.9386,,,,,
segment,幻想のサテライト,14.1,230.0,audio_segment,12,113,116,interlude,間奏,4,,16,,,,,,,,,,,4.0,0.1796,,,,,hook,,other,0.6875,drums,0.0625,other,4.7006,True,True,True,0.0625,0.0,0.6875,0.0,1.0,,1.0,,4.3792,,4.7006,,,,,,
segment,幻想のサテライト,14.1,230.0,audio_segment,13,117,126,interlude,間奏,10,,35,,,,,,,,,,,4.2,0.2683,,,,,hook,,other,0.5429,bass,0.2857,bass,4.6616,True,True,False,0.2571,0.2857,0.5429,0.0,0.6429,0.9091,0.8636,,3.3246,4.6616,4.5685,,,,,,
segment,幻想のサテライト,14.1,230.0,chart_changepoint,0,3,23,,,21,,71,,,,,,,,,,,5.429,0.6755,,,,,,,vocals,0.3944,drums,0.3662,other,3.8615,,,,0.3662,0.0704,0.3239,0.3944,0.5532,0.7143,0.7188,0.3836,3.0326,3.7095,3.8615,2.1768,,,,,
segment,幻想のサテライト,14.1,230.0,chart_changepoint,1,24,74,,,51,,253,,,,,,,,,,,8.059,0.8258,,,,,,,drums,0.5613,other,0.4032,other,2.5599,,,,0.5613,0.0395,0.4032,0.3202,0.5892,0.5556,0.6711,0.6532,2.359,1.9675,2.5599,2.4539,,,,,
segment,幻想のサテライト,14.1,230.0,chart_changepoint,2,75,87,,,13,,39,,,,,,,,,,,3.846,0.7521,,,,,,,drums,0.5897,other,0.4615,bass,5.3336,,,,0.5897,0.2308,0.4615,0.4103,0.4694,0.9,0.8182,0.3478,3.0266,5.3336,4.9776,2.2285,,,,,
segment,幻想のサテライト,14.1,230.0,chart_changepoint,3,88,111,,,24,,126,,,,,,,,,,,8.958,0.9031,,,,,,,drums,0.5317,vocals,0.4206,other,2.9812,,,,0.5317,0.1429,0.3492,0.4206,0.5492,0.6429,0.8462,0.6092,2.098,2.2018,2.9812,2.2357,,,,,
segment,幻想のサテライト,14.1,230.0,chart_changepoint,4,112,126,,,15,,52,,,,,,,,,,,4.0,0.272,,,,,,,other,0.5962,drums,0.1923,bass,4.6575,,,,0.1923,0.1923,0.5962,0.0,0.5263,0.9091,0.8611,0.0,2.7377,4.6575,4.6249,0.0,,,,,
song,麒麟,14.1,220.0,,,,,,,116,837,562,0.0,7.5,-129.83,0.6341,0.5833,0.57,0.5924,46,0.0,0.25,7.216,,10.54,-0.2004,2.791,1.023,,,,,,,,,,,,0.6352,0.2776,0.2367,0.1228,0.5759,0.6964,0.5931,0.6699,2.4999,2.7323,2.5459,2.5543,0.1922,0.577,other,0.7969,0.6
segment,麒麟,14.1,220.0,audio_segment,0,3,18,intro,イントロ,16,,36,,,,,,,,,,,3.562,0.5283,,,,,drum,,drums,0.75,vocals,0.3611,other,8.0947,True,True,False,0.75,0.3333,0.0278,0.3611,0.4426,0.5,1.0,0.65,3.9648,4.2094,8.0947,5.4351,,,,,
segment,麒麟,14.1,220.0,audio_segment,1,19,32,bridge,Cメロ,14,,74,,,,,,,,,,,7.429,0.7647,,,,,bass,drum,drums,0.9189,bass,0.3243,drums,2.9501,False,True,False,0.9189,0.3243,0.0,0.0676,0.7158,0.7273,0.0,0.5556,2.9501,2.6673,0.0,1.945,,,,,
segment,麒麟,14.1,220.0,audio_segment,2,33,42,quiet_chorus,落ちサビ,10,,51,,,,,,,,,,,8.2,0.73,,,,,drum,,other,0.4902,drums,0.4314,other,3.2227,False,True,False,0.4314,0.098,0.4902,0.098,0.5366,0.625,0.8333,0.8333,2.1367,2.2775,3.2227,3.0202,,,,,
segment,麒麟,14.1,220.0,audio_segment,3,43,68,chorus,サビ,26,,123,,,,,,,,,,,7.731,0.8437,,,,,drum,,drums,0.7886,bass,0.4065,bass,2.9535,True,True,False,0.7886,0.4065,0.1951,0.0894,0.6025,0.7143,0.4898,0.6875,2.7322,2.9535,1.9817,2.6872,,,,,
segment,麒麟,14.1,220.0,audio_segment,4,69,78,interlude,間奏,10,,24,,,,,,,,,,,3.2,0.5498,,,,,hook,,other,1.0,drums,0.4167,other,5.1799,True,True,True,0.4167,0.0417,1.0,0.0,0.1373,0.1429,0.4103,,1.7035,1.1032,5.1799,,,,,,
segment,麒麟,14.1,220.0,audio_segment,5,79,86,pre_chorus,Bメロ,8,,37,,,,,,,,,,,6.5,0.6458,,,,,hook,,other,0.7568,drums,0.4595,other,3.0174,True,True,True,0.4595,0.1081,0.7568,0.1081,0.3556,0.3077,0.5714,0.4444,1.7267,1.2645,3.0174,1.8018,,,,,
segment,麒麟,14.1,220.0,audio_segment,6,87,100,chorus,サビ,14,,123,,,,,,,,,,,12.0,0.8376,,,,,drum,,drums,0.4715,bass,0.2683,bass,1.845,True,True,False,0.4715,0.2683,0.187,0.1138,0.7436,0.825,0.7188,0.7778,1.7866,1.845,1.5829,1.6672,,,,,
segment,麒麟,14.1,220.0,audio_segment,7,101,108,quiet_chorus,落ちサビ,8,,52,,,,,,,,,,,9.25,0.8228,,,,,drum,,drums,0.6731,bass,0.2308,other,2.3794,True,True,False,0.6731,0.2308,0.0962,0.1538,0.7,0.7059,0.8333,0.6154,2.3138,2.0921,2.3794,1.7994,,,,,
segment,麒麟,14.1,220.0,audio_segment,8,109,116,interlude,間奏,8,,19,,,,,,,,,,,4.125,0.4545,,,,,drum,vocal,drums,0.4737,bass,0.2105,bass,5.2097,True,True,False,0.4737,0.2105,0.0,0.2105,0.5,0.6667,,0.6667,4.0695,5.2097,,5.2097,,,,,
segment,麒麟,14.1,220.0,audio_segment,9,117,118,verse,Aメロ,2,,23,,,,,,,,,,,17.0,0.6168,,,,,drum,hook,drums,0.5652,bass,0.2174,drums,1.8804,True,True,True,0.5652,0.2174,0.0435,0.1304,1.0,0.8333,0.5,0.5,1.8804,1.4292,0.8125,0.8575,,,,,
segment,麒麟,14.1,220.0,chart_changepoint,0,3,14,,,12,,16,,,,,,,,,,,2.333,0.4407,,,,,,,drums,0.625,bass,0.0625,other,13.6676,,,,0.625,0.0625,0.0625,0.0625,0.303,0.1667,1.0,0.25,4.4526,2.3041,13.6676,3.4404,,,,,
segment,麒麟,14.1,220.0,chart_changepoint,1,15,66,,,52,,268,,,,,,,,,,,7.923,0.8069,,,,,,,drums,0.7612,bass,0.347,bass,2.7208,,,,0.7612,0.347,0.1866,0.1231,0.6277,0.7209,0.6098,0.7021,2.6167,2.7208,2.2457,2.5391,,,,,
segment,麒麟,14.1,220.0,chart_changepoint,2,67,82,,,16,,36,,,,,,,,,,,3.25,0.5555,,,,,,,other,1.0,drums,0.3889,other,5.2865,,,,0.3889,0.0278,1.0,0.0,0.1429,0.0909,0.3934,,1.8184,0.7486,5.2865,,,,,,
segment,麒麟,14.1,220.0,chart_changepoint,3,83,97,,,15,,132,,,,,,,,,,,11.933,0.8188,,,,,,,drums,0.4773,other,0.2803,bass,1.8326,,,,0.4773,0.25,0.2803,0.1136,0.7241,0.825,0.8043,0.6818,1.7475,1.8326,1.806,1.4663,,,,,
segment,麒麟,14.1,220.0,chart_changepoint,4,98,118,,,21,,110,,,,,,,,,,,7.905,0.6581,,,,,,,drums,0.6,bass,0.2545,bass,2.687,,,,0.6,0.2545,0.0818,0.1727,0.6735,0.7368,0.6429,0.6333,2.6505,2.687,2.2726,2.2858,,,,,
