scope,song,genre,level,bpm,n_bars,coverage_mean,extra_ratio_mean,physical_hardness_mean,hand_difficulty_mean,intensity_mean,mode_全采,mode_半采,mode_稀采/空音,mode_加花,mode_静默,mode_混合,cfg_子弹,cfg_三叉戟,cfg_鼓动段,cfg_连续拍滑,cfg_连续双押,cfg_错位,cfg_侧边双押,cfg_出张,cfg_一笔画,cfg_绕圈星星,cfg_纵连,cfg_轴交互,cfg_3+1,cfg_三角交互,cfg_二连扫,cfg_跳拍,cfg_反手,cfg_定拍,cfg_单双/双单,cfg_双押纵,cfg_2+1,cfg_穿心,cfg_双压连续拍滑,cfg_挥手段,cfg_普通交互,cfg_散点,cfg_CYCLES型星星,cfg_大风车,cfg_拆弹,cfg_楼梯交互,cfg_长纵连,cfg_逆楼梯/方向盘,cfg_井字星星,cfg_死镰段,cfg_大宇宙,cfg_夹键拍滑,cfg_同起点拍滑,cfg_如龙段,cfg_N+1
song,awake,ゲーム＆バラエティ,13.2,170.0,55,0.7794,0.0207,0.6454,0.2719,0.8269,0.5273,0.0909,0.0182,0.0,0.0727,0.0364,0.1455,,,0.0364,0.0727,0.0727,0.0364,0.1636,0.0364,0.0364,0.1636,,,,,0.2909,0.1273,,0.1455,,,,,,,,,,,,,,0.0727,,,,,,
song,connecting with you,maimai,13.2,155.0,89,0.6956,0.1153,0.5823,0.4105,0.7317,0.3258,0.191,0.0225,0.0674,0.0,0.0449,0.2022,0.0112,,0.0337,0.2022,,,0.0899,0.0112,0.0112,,,,0.1348,,0.0562,,,0.1685,,0.0449,,,0.0112,,,,,,0.1348,,,,,,,,,
song,maiム・maiム feat.週刊少年マガジン,maimai,13.2,140.0,72,0.7012,0.0468,0.6091,0.2145,0.7309,0.3333,0.2222,0.0556,0.0278,0.0,0.0417,0.1528,,0.0278,0.1111,0.1944,,0.0556,0.3056,0.1667,0.1528,0.0417,,,,0.0139,0.0833,0.1944,,0.2222,0.0417,,,,,,0.0139,,,,,,0.0139,0.0694,,,,,,
song,sweet little sister,東方Project,13.4,168.0,87,0.6291,0.0268,0.5783,0.3756,0.6723,0.2299,0.3563,0.046,0.0,0.023,0.069,0.046,,0.023,0.1034,0.1839,0.0575,,0.092,,,,,,0.046,0.1149,,0.1264,,,,,0.0115,,,0.023,,,,,,,,,,0.0345,,,,
song,taboo tears you up,東方Project,13.4,180.0,103,0.707,0.1802,0.4662,0.4443,0.6353,0.4078,0.1359,0.0,0.1359,0.0583,0.0777,0.1359,,,0.0777,0.2718,,,0.301,0.1359,0.0874,0.0388,0.0291,,0.068,0.0583,0.0194,0.1553,,0.0194,0.0097,,,,,0.0777,0.0097,0.0388,,,0.0388,,,0.0388,,,,,,
song,【東方ニコカラ】秘神マターラ feat.魂音泉【IOSYS】,東方Project,13.4,168.0,96,0.6237,0.1286,0.4802,0.481,0.7643,0.2396,0.125,0.0938,0.0729,0.0417,0.0312,0.1771,0.0104,,0.0417,0.1042,0.0104,,0.2812,0.125,0.0312,0.0208,0.0312,,0.0104,0.0104,0.0521,0.0833,,0.1042,,,,0.0104,,0.0208,,0.0312,,,,0.0208,,,,,,,,
song,おこちゃま戦争,niconico＆ボーカロイド,13.3,175.0,86,0.7738,0.1138,0.5775,0.4913,0.7376,0.5349,0.0814,0.0,0.0349,0.0116,0.0465,0.1628,,,0.0581,0.2209,,0.0233,0.1512,,,0.0581,,,,0.0698,0.1047,0.0465,,0.1163,,,,,,0.0233,,,,,,,,,,,0.0349,,,
song,おちゃめ機能,niconico＆ボーカロイド,13.6,150.0,56,0.7977,0.0787,0.4147,0.4193,0.7108,0.5536,0.1429,0.0357,0.0,0.0,0.0179,0.375,,,,0.1607,,0.0179,,,,0.0714,,,0.0536,0.0536,0.1429,0.1071,,,0.0357,,,,,0.0357,,,,,0.0179,,,,,0.0536,,,,
song,しねばいいのに,niconico＆ボーカロイド,13.0,138.0,65,0.3849,0.0349,0.5088,0.4383,0.8483,0.0308,0.1231,0.3538,0.0154,0.0923,0.0923,0.0769,,,,0.3538,0.0462,,0.1231,,0.0615,0.0308,,,,0.0154,,0.0462,,0.0923,0.0462,,,,,,0.0154,,,,,,0.0615,,,,,,,
song,すーぱーぬこになりたい,niconico＆ボーカロイド,13.7,194.0,96,0.7492,0.1423,0.6394,0.4023,0.7571,0.4062,0.1667,0.0312,0.0312,0.0,0.1042,0.1562,,0.0208,0.1667,0.3958,0.0625,,0.1875,0.0833,0.0417,,,,,0.0104,0.125,0.0729,,0.0208,0.0625,,,,,0.0208,,,,0.0208,,,,0.0729,,,0.1042,,,
song,どういうことなの！？,niconico＆ボーカロイド,13.4,175.0,84,0.7613,0.1351,0.58,0.409,0.7215,0.381,0.1071,0.0238,0.0595,0.0238,0.119,0.1071,,,,0.0714,0.0238,,0.2381,0.0952,0.0476,0.131,,,,0.0595,0.1429,0.0833,,0.1905,,,,,,,0.0476,0.0238,,,,,,0.0238,,,,,,
song,どうしてこうなった,niconico＆ボーカロイド,13.7,180.0,99,0.7875,0.0403,0.5266,0.3937,0.7468,0.596,0.0808,0.0303,0.0,0.0404,0.0,0.2323,,0.0202,0.0606,0.2424,0.0606,,0.0808,0.0202,0.0202,0.0202,0.0202,,0.1111,0.0404,0.1313,0.1616,,0.0808,0.0303,,,,,0.0202,,,,,,,,0.0101,,0.0606,0.0505,,,
song,にじよめちゃん体操第一億,POPS＆アニメ,13.8,120.0,48,0.634,0.1193,0.4863,0.3096,0.7964,0.25,0.25,0.0833,0.125,0.0,0.0208,0.0208,0.1458,,0.0417,0.0833,0.0625,,0.2917,0.2708,0.0208,,,,,0.0417,0.125,,,,,,,0.0417,0.0417,,,0.0833,,,,,,0.0208,,,,0.0417,,
song,ぽっぴっぽー,niconico＆ボーカロイド,13.3,150.0,61,0.778,0.0136,0.4777,0.4231,0.4724,0.4918,0.082,0.0,0.0,0.0,0.0328,0.459,,,0.0328,0.1803,,0.0656,,0.0164,,0.0656,,,0.0164,0.0984,0.2459,0.1148,,0.0328,0.0164,,,,,,0.0164,,,,,,,,,,,,,
song,アンハッピーリフレイン,niconico＆ボーカロイド,13.4,205.0,94,0.7126,0.1318,0.4762,0.4497,0.8502,0.4255,0.117,0.0319,0.0957,0.0213,0.0426,0.117,0.0106,,,0.2447,0.1596,,0.0851,0.0213,0.0213,0.0745,0.0106,,,,0.2553,,,,,,,,0.0106,0.0106,,,,,,,,0.0745,,0.0106,,,,
song,アージェントシンメトリー,maimai,13.5,172.0,87,0.6364,0.1513,0.6617,0.3596,0.7897,0.2184,0.2069,0.0345,0.023,0.1034,0.0575,0.1379,,,,0.4023,0.023,0.0575,0.1264,0.1609,0.0115,,,,0.0115,0.0575,0.1724,0.0345,,0.046,,,,,,0.046,0.023,0.046,,,0.0115,,,,,,,,,
song,ウサテイ,東方Project,14.0,190.0,81,0.7587,0.0801,0.454,0.6449,0.8235,0.5309,0.0864,0.0494,0.0,0.0123,0.0247,0.4321,,,0.0988,,,,0.1235,0.0741,0.0741,0.0494,,,,0.1481,0.1235,0.0617,,0.1111,,,,,,,,,,,,,,0.0741,,0.0494,0.0494,,,
song,ウッーウッーウマウマ(ﾟ∀ﾟ),POPS＆アニメ,13.4,164.73,65,0.7077,0.0463,0.6694,0.4236,0.7715,0.3538,0.2154,0.0,0.0154,0.0154,0.0462,0.1538,,,,0.4923,,0.1538,0.0154,,,0.0308,,,,,0.2308,0.0154,,0.3077,,,,,,,,,,,,,,,,,,,,
song,オモイヨシノ,ゲーム＆バラエティ,13.3,168.0,91,0.6919,0.1498,0.426,0.4559,0.7894,0.3626,0.0989,0.0,0.1099,0.1319,0.022,0.1868,,,0.011,0.0879,0.011,,0.1538,0.0769,0.0769,0.044,,,0.022,0.0769,0.2198,0.0659,,,,,0.011,,,0.0659,,0.044,,0.011,,,,0.022,,,,,,
song,ガチャガチャきゅ～と・ふぃぎゅ@メイト,POPS＆アニメ,13.2,178.0,92,0.6396,0.0478,0.6499,0.453,0.7326,0.337,0.25,0.0761,0.0109,0.0761,0.0109,0.163,,,0.1957,0.3696,,,0.2174,0.2065,0.0109,0.0109,,,,,0.0109,,,0.087,0.0761,0.0543,,,,0.0109,,0.0543,,,,,,,,0.0217,0.087,,,
song,キミノヨゾラ哨戒班,niconico＆ボーカロイド,13.0,185.0,90,0.7884,0.068,0.4686,0.4801,0.7678,0.5111,0.1222,0.0,0.0333,0.0333,0.0111,0.1667,0.1111,0.0222,0.0222,0.1667,0.0222,0.0444,0.1667,0.0556,0.0111,,,,,,0.0333,0.0333,,0.1222,,0.0889,,,0.0222,0.0667,,,,,,,,,,0.0222,0.0222,,,
song,キレキャリオン,niconico＆ボーカロイド,13.1,170.0,85,0.7302,0.1088,0.5767,0.3644,0.7509,0.4588,0.1529,0.0706,0.0471,0.0588,0.0353,0.4118,0.0235,,0.0353,0.4941,0.0824,0.0706,0.1529,0.0353,,,,,,0.0118,0.0941,0.0235,,0.1412,,0.0353,,,0.0235,,,0.0118,,,,,,0.0353,,,,,,
song,ギリギリ最強あいまいみー！,POPS＆アニメ,13.7,185.0,79,0.7119,0.1099,0.4958,0.425,0.8464,0.4304,0.1013,0.0253,0.1013,0.038,0.0253,0.0886,0.0506,,,0.2278,0.0759,0.0506,0.3544,0.1013,0.038,,,,,0.0506,0.0759,0.0506,0.038,0.1266,,0.038,,0.038,,,0.0127,0.0506,,,,0.0506,,,,,,0.038,,
song,クノイチでも恋がしたい,niconico＆ボーカロイド,13.4,185.0,100,0.6643,0.0833,0.6016,0.4587,0.8054,0.3,0.26,0.08,0.02,0.03,0.04,0.13,0.01,,0.2,0.16,0.09,0.03,0.25,,,,,,0.03,,0.12,0.02,,0.18,,,,0.01,,,,,,,,,,0.19,,,,,,
song,コトバ・カラフル,ゲーム＆バラエティ,13.7,169.0,59,0.7316,0.0327,0.6852,0.4286,0.8665,0.4576,0.1186,0.0339,0.0169,0.0,0.0,0.1525,,,,0.7458,0.1017,0.0678,0.0847,0.0339,0.0339,0.0508,,,,,0.1017,,,0.0169,0.0169,,,,,,,,,,,,,,,,,,,
song,ジンギスカン,POPS＆アニメ,13.3,150.0,81,0.7108,0.0621,0.5852,0.4823,0.69,0.4691,0.2222,0.037,0.0247,0.0247,0.0123,0.1481,0.0494,0.0741,0.0988,0.1975,0.0247,0.0864,0.2222,0.1852,0.0494,0.1358,0.0247,,,,0.0123,,,0.0988,,,,,0.0247,0.0247,,,,,,0.037,,,,,0.0247,,,
song,ジングルベル,maimai,14.4,100.0,38,0.7917,0.3295,0.5131,0.408,0.8142,0.2105,0.0789,0.0263,0.1053,0.0,0.2632,0.6053,0.0263,0.0263,0.1316,0.2368,0.0263,0.0263,0.1053,0.0263,,0.0526,0.0263,,0.0789,0.0526,0.1842,0.1316,0.0526,0.1053,,,,,0.0263,0.0526,,,,,0.0263,,0.0526,0.0789,,0.0526,,,,
song,ストリーミングハート,niconico＆ボーカロイド,13.3,210.0,111,0.7396,0.1632,0.419,0.3391,0.75,0.3514,0.0811,0.027,0.0901,0.009,0.0631,0.2342,,,0.0541,0.1351,0.0541,,0.1351,0.045,0.018,,,,,0.018,0.2523,0.0631,,0.0991,,,,,,0.018,,0.018,,,,0.0541,,0.036,,0.018,,,,
song,セガサターン起動音[H.][Remix],ゲーム＆バラエティ,13.0,148.0,45,0.5797,0.1339,0.6121,0.1633,0.863,0.0889,0.3333,0.0222,0.1111,0.0222,0.1333,0.1556,,,0.0667,0.0667,0.0444,,0.2667,0.1333,0.2444,0.0444,,,0.0222,0.0667,0.0889,0.2222,,,0.0444,,,,,0.0667,,,,,0.0667,,,0.1333,,0.2,,,,
song,ソーラン☆節,maimai,13.4,145.0,54,0.6485,0.1291,0.5049,0.4203,0.8056,0.3333,0.2037,0.0741,0.0741,0.0185,0.1111,0.1667,,,,0.037,0.1296,0.0741,0.1296,0.0741,0.1111,0.0926,,,,0.1667,0.2593,0.1852,,,,,,,,,,,,,,,,,,,,,,
song,ダンスロボットダンス,niconico＆ボーカロイド,13.3,190.0,111,0.6142,0.0949,0.5201,0.3474,0.6949,0.2162,0.2432,0.0901,0.0631,0.018,0.036,0.1171,0.0901,0.1532,0.3964,0.2072,0.036,0.036,0.2613,0.0901,0.0721,0.045,,,,,0.018,0.1081,,0.036,0.018,,,,0.018,0.018,,,,,,,,0.036,,,,,,
song,デッドレッドガールズ,niconico＆ボーカロイド,13.8,230.0,124,0.7821,0.166,0.5636,0.1914,0.8654,0.5565,0.0565,0.0081,0.0887,0.0726,0.0565,0.1452,,0.0242,0.2258,0.129,0.0806,,0.1532,0.0403,0.0403,,,,0.0161,0.0161,0.0161,0.0323,0.0242,0.0484,0.0484,,,,,,0.0161,0.0081,,,,,,0.129,,0.0484,,,,
song,ドーナツホール,niconico＆ボーカロイド,13.6,252.0,141,0.7911,0.0865,0.5863,0.4603,0.7628,0.4255,0.0213,0.0426,0.0142,0.0071,0.0426,0.0284,,0.0284,0.0426,0.2553,0.0709,0.1064,0.1418,0.0709,0.0567,,,,,0.0213,,0.0284,,0.3475,,0.0851,,,,,,,,,,,,0.0142,,,,,,
song,ナイト・オブ・ナイツ,東方Project,13.3,180.0,80,0.8118,0.0924,0.5386,0.3245,0.6576,0.575,0.1,0.0625,0.0,0.0,0.0875,0.1375,,,,0.0625,,0.025,0.0375,,,,,,0.1,0.0875,0.175,0.075,,0.0625,,0.025,,,,0.05,0.1,,,,0.0125,,,,,0.0625,,,,
song,ネクロファンタジア～Arr.Demetori,東方Project,13.8,180.0,109,0.6154,0.0922,0.5627,0.3922,0.6471,0.2569,0.1743,0.1009,0.0275,0.0092,0.0,0.1101,0.0092,,0.055,0.1284,0.0734,,0.0459,0.0275,0.0459,0.0092,0.0092,,0.0183,0.0917,0.1101,0.0459,,0.156,,0.0826,,,0.0092,0.0183,,,,,,,,0.0367,,,,,,
song,ハート・ビート,オンゲキ＆CHUNITHM,13.4,212.0,120,0.7029,0.0942,0.5049,0.4784,0.7293,0.3417,0.1667,0.025,0.0167,0.025,0.0583,0.2333,,,0.0667,0.1583,0.025,,0.2833,0.0417,0.0333,0.0167,,,0.0167,0.0333,,0.05,,0.0333,,,,,,0.0083,,0.0083,,,,,,0.025,,,0.0667,,,
song,ピーマンたべたら,maimai,13.7,178.0,73,0.6562,0.1864,0.5455,0.3582,0.7724,0.2603,0.2055,0.1096,0.1644,0.0137,0.0959,0.1233,0.0274,,0.0685,0.2466,,,0.2603,0.2055,0.1096,0.0411,,,0.0274,0.0548,0.137,0.0959,,0.0822,,,,0.0274,,0.0685,,0.0137,,,0.0274,,,,,0.0137,,0.0137,,
song,フキゲンワルツ,niconico＆ボーカロイド,13.2,210.0,120,0.7103,0.1324,0.538,0.4406,0.4449,0.2917,0.0917,0.025,0.05,0.025,0.125,0.0667,,,0.0417,0.2833,0.0167,0.0083,0.2417,0.05,0.1167,0.0417,,,0.0583,,0.0667,0.1,,0.0583,0.0167,,0.0333,,,,,,,,,,,0.0167,,,,,,
song,ユビキリ,maimai,13.3,174.0,84,0.5627,0.1414,0.572,0.3943,0.8482,0.1667,0.1429,0.119,0.119,0.0595,0.0952,0.131,0.0714,0.1786,0.1786,0.131,0.0595,0.0238,0.3095,0.131,0.0476,,,,,0.0714,,0.0595,0.0357,0.0714,,,0.0238,,0.0714,,0.0119,0.0476,,,,,,0.0952,,,,,,
song,リンカーネイション,niconico＆ボーカロイド,13.8,185.0,97,0.7778,0.1457,0.5419,0.2604,0.6891,0.4536,0.134,0.0309,0.0515,0.0206,0.0515,0.1237,,,0.0412,0.2577,0.1134,,0.1753,0.0103,0.0206,0.0412,0.0309,,0.0206,0.0619,0.0206,0.0515,,0.0619,,,,,,0.0722,,0.0103,,,0.0103,0.0206,,,,0.0515,,,,
song,ロストワンの号哭,niconico＆ボーカロイド,13.6,162.0,87,0.7647,0.2835,0.4611,0.4195,0.4667,0.2529,0.092,0.0,0.1609,0.0,0.1954,0.1379,0.0115,0.0115,0.0115,0.2529,0.1379,,0.1839,,,,,,,,0.3333,0.0575,,0.1379,,,,,0.0115,,,,,,,,,,,,,,,
song,ローリンガール,niconico＆ボーカロイド,13.2,195.0,92,0.6284,0.2138,0.5181,0.4639,0.8378,0.1848,0.1522,0.087,0.1522,0.0,0.2174,0.0326,,,,0.1304,0.0109,0.0217,0.1522,0.1848,0.1413,0.0217,,,,0.0652,,0.1087,,0.1087,,,,,,,,,,,,,,,,,,,,
song,ワールズエンド・ダンスホール,niconico＆ボーカロイド,13.0,171.0,68,0.7062,0.063,0.3597,0.4045,0.8717,0.4265,0.1618,0.1176,0.0,0.0,0.0147,0.2941,,,,0.2353,,0.1324,0.0882,,,0.0588,0.0294,,,,0.0294,0.1618,,0.0588,,0.0735,,,,,,,,,,,,0.0882,,,,,,
song,僕は空気が嫁ない,niconico＆ボーカロイド,13.5,192.0,89,0.7388,0.2336,0.5995,0.4519,0.7244,0.3708,0.1573,0.0225,0.1573,0.0112,0.0787,0.4157,0.0899,0.0337,0.0787,0.2921,0.0787,,0.236,0.1124,0.0112,0.0225,0.0112,,0.0337,0.0112,0.1461,0.0225,,0.1011,0.0112,,,0.0225,0.0337,0.0112,0.0112,0.0112,,,,,,0.0112,,,,0.1461,,
song,光線チューニング,オンゲキ＆CHUNITHM,13.7,190.0,112,0.6432,0.0973,0.6237,0.2716,0.7156,0.2946,0.1607,0.1161,0.0982,0.0446,0.0268,0.1071,,0.0268,0.1518,0.2946,0.0625,,0.2143,0.0893,0.0536,,0.0179,,0.0446,0.0357,0.0893,0.0714,,0.125,0.0089,,,0.0089,,0.0179,0.0089,0.0089,,,,,,0.0446,,,0.0179,,,
song,円舞曲、君に,ゲーム＆バラエティ,13.3,128.0,54,0.6386,0.1703,0.6175,0.4117,0.6203,0.2593,0.037,0.1481,0.1111,0.037,0.0926,0.037,,,0.0926,0.0926,0.0556,0.0185,0.1667,0.0185,0.037,0.037,,,,,0.2407,0.0556,,0.0741,,0.0741,,,,0.0741,,,,,,,,0.0741,,,0.037,,0.0926,
song,初音ミクの消失,niconico＆ボーカロイド,13.9,240.0,128,0.6865,0.1727,0.5102,0.2373,0.7853,0.2422,0.1641,0.0859,0.125,0.0,0.1562,0.2188,,,0.0391,0.0703,,,0.1406,0.0625,0.0391,0.1094,,,0.0781,0.0469,0.0078,0.1016,0.0391,0.0391,0.0547,,,,,0.0469,0.0156,,,,,0.0547,,0.0234,,0.0234,0.0234,,,
song,初音ミクの激唱,niconico＆ボーカロイド,14.5,200.0,114,0.7619,0.2223,0.5949,0.2956,0.7833,0.1754,0.0965,0.0263,0.2105,0.2105,0.1491,0.0263,,,0.0175,0.0526,0.0088,,0.1491,0.1491,0.0175,0.193,0.0702,,0.1404,0.0263,,0.1404,,0.0175,,0.0526,,,,,,,,,0.0351,,,,,0.0526,,,,
song,前前前世,POPS＆アニメ,13.0,190.0,84,0.7558,0.2153,0.618,0.3933,0.8188,0.369,0.1667,0.0119,0.0833,0.0238,0.0833,0.0833,,0.0238,0.2262,0.2857,,,0.2262,0.0476,0.0714,0.0595,0.0119,,,0.0357,0.0357,0.0595,,0.0714,0.0119,,,,,0.0119,0.0238,,0.0357,,,0.0476,,0.0357,,,0.0357,,,
song,厨病激発ボーイ,niconico＆ボーカロイド,13.8,190.0,106,0.7923,0.2116,0.5576,0.2523,0.793,0.3302,0.0566,0.0377,0.0755,0.0566,0.2358,0.1887,0.0094,0.0755,0.1981,0.1132,0.0566,0.0094,0.2453,0.1887,0.0189,0.0189,,,,,0.0849,,,0.0283,,0.1698,,,,0.0094,,,,,,,,0.1509,,,0.1792,,,
song,右肩の蝶,niconico＆ボーカロイド,13.1,140.0,83,0.5503,0.0523,0.4831,0.5413,0.6698,0.1566,0.3133,0.1446,0.0,0.0723,0.0,0.1446,0.0241,0.0482,0.0723,0.3253,0.0843,0.012,0.2169,0.0843,0.012,0.1084,,,0.0241,0.012,0.0241,0.0482,,0.3012,,,,0.012,,0.0241,,,,0.0482,,0.0241,,0.0723,,,,,,
song,咲キ誇レ常世ノ華,maimai,13.5,170.0,107,0.7092,0.1282,0.5109,0.3041,0.7535,0.3364,0.1308,0.0374,0.0561,0.0654,0.0935,0.1028,,,0.0654,0.1682,0.0561,,0.271,0.0748,0.0561,,,,,0.0654,0.028,0.1682,,0.3364,,,,,,0.0093,,0.0093,,,,,,0.0187,,,0.028,0.0187,,
song,四月の雨,maimai,13.9,79.0,40,0.5936,0.137,0.5489,0.3448,0.7643,0.2,0.375,0.0,0.025,0.0,0.05,0.125,,0.2,0.325,,0.35,,0.35,0.25,0.125,0.15,,,0.025,,0.1,0.125,,0.025,,,,,,0.15,,,,0.025,,,0.025,0.125,,0.025,0.2,0.125,,
song,回レ！雪月花,POPS＆アニメ,13.3,160.0,59,0.7706,0.0899,0.5687,0.3718,0.7024,0.4915,0.1186,0.0678,0.0508,0.0,0.1017,0.0508,,,0.1017,0.4576,,0.0169,0.0847,0.0508,0.0508,,0.0678,,,,0.1864,0.0847,,0.3051,,,0.0339,,,0.0508,,0.0169,,,,,,0.0169,,,0.0678,,,
song,夜咄ディセイブ,niconico＆ボーカロイド,13.8,260.0,122,0.6673,0.1522,0.375,0.4502,0.7422,0.2869,0.0902,0.0328,0.123,0.0492,0.1066,0.0164,,,0.082,0.0164,,,0.1393,0.0902,0.0656,,,,0.0082,0.1721,0.0574,0.041,,,,,,,,,,,,,0.0082,,,,,,,,,
song,夜明けまであと３秒,ゲーム＆バラエティ,14.0,177.0,97,0.8309,0.3369,0.6279,0.4488,0.6364,0.4124,0.0619,0.0206,0.3299,0.0206,0.0928,0.0309,,,0.0412,0.2474,0.0206,0.0309,0.2887,0.0103,0.0103,,0.0103,,0.0412,0.1031,0.0412,0.2268,0.0619,0.1443,,,,,,0.0206,0.1031,,,,0.0206,,,,,,,,,
song,妖精村の月誕祭 ～Lunate Elf,東方Project,13.3,132.0,55,0.6704,0.0724,0.5472,0.5181,0.711,0.2,0.2727,0.0364,0.0,0.0,0.0182,0.2182,,,0.0182,0.2182,0.2182,,0.3273,0.0364,0.0182,,,,,,0.2545,0.2,,0.2182,,,,,,,,,,,,,,,,,,,,
song,幸せになれる隠しコマンドがあるらしい,niconico＆ボーカロイド,14.0,142.0,86,0.6168,0.0959,0.6656,0.2565,0.7147,0.2442,0.2326,0.1628,0.0116,0.0349,0.0698,0.0581,0.0581,0.0698,0.2558,0.186,0.0581,0.0349,0.2791,0.1047,,0.0581,,,,,0.0465,0.0465,,0.2209,,,,0.0233,0.0349,0.0349,0.0116,0.0349,,0.0116,,,,0.1977,,,,0.0698,,
song,幻想のサテライト,東方Project,14.1,230.0,118,0.7122,0.1516,0.5555,0.3781,0.776,0.2881,0.0932,0.0339,0.0593,0.1017,0.0678,0.0678,,,0.0169,0.1864,0.0339,,0.1186,0.2458,0.0254,,,,,0.0678,,0.0593,,0.2881,0.0085,,,,,,,0.0085,,,,,,0.0339,0.0508,,,,,
song,幾四音-Ixion-,オンゲキ＆CHUNITHM,13.3,210.0,118,0.7289,0.2976,0.4625,0.3443,0.8143,0.1949,0.0593,0.0254,0.2542,0.0593,0.161,0.0847,,,0.0593,0.0932,0.0254,0.0169,0.1441,0.1186,0.0763,,0.0678,,0.0085,0.0593,0.0169,0.1017,,0.0254,0.0085,,,0.0339,,0.0424,,0.0254,,,0.0085,,,0.0763,,0.0169,,,,
song,放課後ストライド,niconico＆ボーカロイド,13.3,225.0,124,0.6274,0.0683,0.5016,0.5486,0.8125,0.2097,0.3548,0.0081,0.0081,0.0806,0.0484,0.0161,,,0.1371,,,,0.25,0.0806,0.0968,,,,,0.0645,0.1694,0.0484,,,,,,,,,,,,,,,,0.1048,,,,,,
song,敗北の少年,niconico＆ボーカロイド,13.4,185.0,109,0.6397,0.082,0.662,0.4683,0.6399,0.2569,0.3119,0.1193,0.0183,0.0092,0.0275,0.211,,0.0367,0.2477,0.156,0.0275,,0.1009,0.0459,0.0183,0.0734,0.0275,,0.0092,,0.055,,0.0642,0.1835,,,0.0183,,,0.0367,,,,,,,,0.1468,,,0.0642,,,
song,日本の米は世界一,POPS＆アニメ,13.3,138.0,62,0.7533,0.0844,0.5859,0.4391,0.8449,0.3871,0.129,0.0,0.0161,0.0323,0.0161,0.0645,0.129,0.1129,0.129,0.3226,0.1613,0.0806,0.2903,,,,0.0323,,,,0.1129,0.0323,,0.0484,,,0.0645,0.0323,0.0645,0.0645,,,,,,0.0645,,0.0323,,0.0484,,,,
song,最終鬼畜妹・一部声,東方Project,13.9,200.0,105,0.6418,0.1961,0.6009,0.4826,0.8715,0.2,0.1524,0.0476,0.0857,0.1048,0.1238,0.0857,,,,0.0667,0.0571,,0.181,,0.0381,,,,0.019,0.0381,0.1143,,,0.2476,,,,,,0.019,,,,,,,,0.019,0.0286,,,,,
song,木彫り鯰と右肩ゾンビ,niconico＆ボーカロイド,13.6,150.0,87,0.7857,0.0543,0.555,0.4833,0.852,0.5402,0.1149,0.046,0.023,0.0,0.0115,0.1149,0.0805,0.0575,0.0805,0.2529,0.092,0.0345,0.2529,0.046,0.0115,0.023,,,0.0115,0.023,0.069,0.069,,0.2874,,,,0.0345,0.0805,0.023,,0.0345,,,,,,0.023,,,,0.0115,,
song,東方スイーツ！～鬼畜姉妹と受難メイド～,東方Project,13.2,179.0,77,0.6468,0.102,0.6357,0.4534,0.7665,0.2597,0.2597,0.026,0.0519,0.0779,0.0,0.0909,,,0.0779,0.2208,0.026,,0.2468,0.0779,,0.026,,,,,0.0909,0.0649,,0.026,,,,,,,,,,,,,,0.013,,,,,,
song,東方妖々夢 ～the maximum moving about～,東方Project,13.3,196.975,118,0.7179,0.2092,0.4065,0.1158,0.7588,0.2797,0.1441,0.0085,0.1695,0.0254,0.1271,0.0508,,,0.1525,0.0508,0.0254,,0.0593,0.0508,0.0847,,,,0.0085,,0.1271,0.0169,,,,,,,,0.0169,,,,,,,,0.0169,,,0.0847,,,
song,極圏,ゲーム＆バラエティ,14.4,207.0,96,0.6957,0.1599,0.5937,0.3453,0.6968,0.2604,0.1979,0.0104,0.0833,0.0938,0.1354,0.0729,,,0.1354,0.1667,0.0521,0.0104,0.1042,0.0417,0.0208,0.0312,0.0104,,0.0625,0.1146,0.0625,0.1562,,0.3438,,,,,,0.0625,0.0521,,,,,0.0104,,0.0938,,,,,,
song,火炎地獄,maimai,14.1,216.0,95,0.6081,0.2427,0.466,0.3834,0.7508,0.1895,0.1684,0.0316,0.2632,0.0105,0.0105,0.1789,,,,0.1579,0.0316,0.0211,0.2,,,0.0632,0.0211,,0.0526,,0.0632,0.0526,,,,,0.0211,,,,,,,,,,0.0316,0.0737,,,,,,
song,炉心融解,niconico＆ボーカロイド,13.2,165.0,62,0.6435,0.0204,0.4928,0.5958,0.8595,0.1613,0.2258,0.0645,0.0,0.0323,0.0161,0.1452,0.0323,,0.0323,0.1129,0.0806,,0.1129,0.0645,,,,,,0.0323,0.0323,0.0484,,,,,,,0.0323,,,0.0323,,0.0161,,,,0.0161,,,,0.0484,,
song,炭★坑★節,maimai,13.3,112.0,45,0.5339,0.1101,0.4085,0.3758,0.8637,0.1778,0.2444,0.2444,0.0,0.0222,0.0444,0.2667,,,,,0.0667,0.1111,0.1333,,,0.0444,,,,,0.3111,,,0.0444,,,,,,0.0444,,,,,,,,0.0222,,,,,,
song,片想いサンバ,niconico＆ボーカロイド,13.2,150.0,81,0.6504,0.0252,0.526,0.4457,0.681,0.3086,0.2593,0.0864,0.0,0.0,0.0,0.3333,,,,0.0494,0.0864,,0.2099,,0.1111,0.2099,,,0.0247,0.037,0.0988,0.2222,,0.1358,0.0247,,,,,0.0123,,,,,,,0.0123,,,,,,,
